LogMessage,class
RuntimeException: Queue worker exceeded memory limit of 448 MB,SYSTEM
LogicException: Route [filament.resources.users.create] not defined.,Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.34.239.203:33060),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.25.176.86:3307),SYSTEM
RuntimeException: Required configuration value CACHE_STORE is empty,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-08.log): Failed to open stream: Read-only file system,SYSTEM
LogicException: Route [filament.resources.tickets.edit] not defined.,Error
DELETE projects/create 403 1108ms user=41 ip=10.88.204.100 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
PUT users 200 1336ms user=1 ip=10.220.72.144 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET ticket-statuses/create 200 160ms user=39 ip=10.6.86.166 ua=Symfony,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.16.113.209:3306),SYSTEM
PATCH users/create 404 229ms user=10 ip=10.37.85.133 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"InvalidArgumentException: Expected valid config value for services.oidc.scope, received string",CONFIGURATION
RuntimeException: Queue worker exceeded memory limit of 96 MB,SYSTEM
